"","CASEID","comment_text","Freedom.and.Rights","E.plurabus.Unum","representation.of.the.people","popular.will.and.equality","National.identity.and.heritage","Not.a.democracy.a.Republic","flawed.democracy","Institution.and.constitution","unclassified.other","Don.t.know","nothing.disaffected","Nothing.more.to.add","NA."
"1",2061638667,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"2",2056600635,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"3",2058253621,"Free nation where citizens elect their representatives.",1,0,0,1,0,0,0,0,0,0,0,0,0
"4",2058997303,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"5",2058184341,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"6",2057930711,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"7",2058524165,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"8",2057837907,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"9",2058736151,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"10",2057900787,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"11",2058252331,"freedom to choose",0,0,0,1,0,0,0,0,0,0,0,0,0
"12",2058259953,"Freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"13",2058041653,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"14",2058570159,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"15",2058252251,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"16",2058271579,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"17",2059077369,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"18",2058669257,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"19",2059351929,"Two wolves and a sheep arguing whats for dinner. Democracy doesnt protect the individual.",0,0,0,0,0,0,0,0,0,0,1,0,0
"20",2056783197,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"21",2059351931,"Not American form of government",0,0,0,0,0,0,0,0,1,0,0,0,0
"22",2055791575,"The ability to live free in the Land Of The Free, to vote and have a government running all the demands of government truthfully FOR THE PEOPLE.",1,0,0,1,0,0,0,0,0,0,0,0,0
"23",2058041159,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"24",2058464685,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"25",2057275635,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"26",2059126765,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"27",2057865147,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"28",2055743655,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"29",2057897425,"no goverment too control",0,0,0,0,0,0,0,1,0,0,0,0,0
"30",2057934857,"Freedom for individuals.",1,0,0,0,0,0,0,0,0,0,0,0,0
"31",2057936239,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"32",2057868111,"The right of the governed to select their representatives",0,0,0,1,0,0,0,0,0,0,0,0,0
"33",2057497525,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"34",2057866035,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"35",2061537811,"Freedom, honesty, respect, safety.",1,0,0,0,0,0,0,0,0,0,0,0,0
"36",2057441555,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"37",2059121555,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"38",2058368283,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"39",2057936693,"Republic 50 separate state's not majority of population",0,0,0,0,0,1,0,0,0,0,0,0,0
"40",2057497625,"Freedom of choice.",0,0,0,1,0,0,0,0,0,0,0,0,0
"41",2059372321,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"42",2061361967,"It means I have a say in who makes up our government and how it is run. It also allows me to let our officials know I care and that I'm paying attention.",0,0,0,1,0,0,0,0,0,0,0,0,0
"43",2056600623,"direct input into governance by all the people",0,0,0,1,0,0,0,0,0,0,0,0,0
"44",2055579941,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"45",2059442595,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"46",2058744751,"Mob Rule. The USA is not a ""Democracy"" but a representative Republic that uses democratic tools to choose representatives. Calling the USA a democracy is ignorant beyond acceptance.",0,0,0,0,0,1,0,0,0,0,0,0,0
"47",2058368267,"THe ability to self govern",1,0,0,0,0,0,0,0,0,0,0,0,0
